categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Desserts|Charles & Alice|Compote de Pommes Sans Sucres Ajoutés|a|Purée de pommes 99.8%, jus de citron, antioxydant : acide ascorbique.  Contient les sucres naturellement présents dans les fruits  |230|0.5|11|1.5|0.5|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles & Alice|Compotes Pommes Rhubarbe sans sucres ajoutés|a|Pommes 60.7 %, purée et morceaux de rhubarbe 35 %, purée de pêches 4 %, arôme naturel, antioxydant : acide ascorbique.|163|0.5|7.9|2.1|0.5|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles & Alice|Compote de pommes allégée en sucres|a|Pomme 96%, sucre, antioxydant|222|0.4|11|1.7|0.05|0|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles & Alice|Pommes cassis|a|Purée de pommes 84.9%, purée de cassis 15%, vitamine C.|253|0.5|11.3|1.9|0.5|0|||||0.037||||||||||||0|||
Desserts|Charles & Alice|Pommes poires williams|a|Purée de poires 50 %, purée de pommes 49.8 %, arôme poire, vitamine C, acidifiant : acide citrique.|243|0.5|11|1.8|0.5|0|||||0.012||||||||||||0||E330 - Acide citrique|
Desserts|Charles & Alice|Compote Bio Pommes et Coings|a|Purée de pommes* 76%, purée de coings* 20%, sucre de canne roux 4%, antioxydant : acide ascorbique. *Issus de l'agriculture biologique.|295|0.5|13.1|1.9|0.3|0|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles & Alice|Pommes fraises|a|Purée de pommes 81.6%, purée de fraises 18 %, jus de concentré de carotte pourpre, arômes naturels, vitamine C.|201|0.5|11|1.4|0.5|0.01|||||0.02||||||||||||0|||
Desserts|Charles & Alice|Pommes Fraises|a|Purée de pommes 63.8%, purée de fraises 30%, sucre, jus concentré de carotte pourpre, arôme naturel, antioxydant : acide ascorbique.|252|0.5|13|1.8|0.5|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles & Alice|Pommes Poires|a|Purée de pommes 61%, purée de poires 35%, sucre, arôme naturel, antioxydant : acide ascorbique.|270|0.5|13|1.9|0.5|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles & Alice|Pommes Framboises|a|Purée de pommes 77.1 %, purée de framboises 18 %, sucre, jus concentré de carotte pourpre, antioxydant : acide ascorbique.|280|0.5|14|2|0.5|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles & Alice|Pommes abricots bergeron|a|Purée de pommes 69.8%, purée d'abricots 30%, arômes naturels, vitamine C.|243|0.5|11|1.5|0.5|0|||||0.012||||||||||||0|||
Desserts|Charles & Alice|Pommes Framboises Sans Sucres Ajoutés|a|Purée de pommes 83.9%, purée de framboises 14.5%, pur de mûres, jus concentré de carotte pourpre, arôme naturel, vitamine C. Contient les sucres naturellement présents dans les fruits.|201|0.5|10|2|0.5|0|||||0.014||||||||||||0|||
Desserts|Charles & Alice|Panaché de Compotes sans Sucres Ajoutés|a|Pommes : Purée de pommes 99.8%, jus de citron, vitamine C. Pommes Mangues : Purée et morceaux de mangues : 50%, purée de pommes 49.8%, arôme naturel, vitamine C. Pommes Poires :  Purée de poires : 50%, purée de pommes 49.8%, arôme poire, vitamine C, acidifiant : acide citrique.  Pommes Abricots : Purée de pommes : 69.8%, purée d'abricots 30%, arômes naturels, vitamine C.|276|0.5|14.6|1.4|0.5|0|||||||||||||||||0||E330 - Acide citrique|
Desserts|Charles & Alice|Pommes Mirabelles Sans Sucres Ajoutés|a|Purée de pommes 87.9%, purée de mirabelles 12%, vitamine C, arôme naturel.|257|0.5|11.9|1.3|0.4|0|||||0.012||||||||||||0|||
Desserts|Charles & Alice|compote pommes et châtaignes|a|Purée de pommes* : 82.9%, crème de châtaignes*17%, antioxydant : acide ascorbique. *issus de |’Agriculture Biologique|335|0.5|16|1.6|0.5|0|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles & Alice|Pommes Abricots Bergeron|a|Purée de pomme 69.8%, purée d'abricots 30%, arômes naturels, vitamine C.|249|0.5|11.2|1.4|0.5|0|||||0.012||||||||||||0|||
Desserts|Charles Et Alice|Compotes Pommes Bananes Vanille et Pommes Sans Sucres Ajoutés|a|Pommes-bananes-vanilles : Purée de pommes 54.9%, purée de bananes 45%, arôme naturel de vanille 0.06%, antioxydant : acide ascorbique, graines de vanille épuisées 0.03%, acidifiant : acide citrique. Pommes : Purée de pommes 99.8%, jus de citron, antioxydant : acide ascorbique.|293|0.4|13|1.4|0.7|0.01|||||||||||||||||0||E300 - Acide ascorbique,E330 - Acide citrique|
Desserts|Charles et Alice|Compote Pommes-Abricots allégée en sucre|a|Pomme 81.5%, abricot 15%, sucre, jus concentré de carotte, arôme naturel, antioxydant: acide ascorbique.|272|0.5|12|1.1|0.5|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Charles et Alice|Lait de Coco Mangues Passion|c|base de lait de coco Spécialité fermentée à base de lait de coco, de purée de mangues, de purée de pommes et de jus de passion ingrédients : lait de coco 29% (extrait de noix de coco, eau, eau, purée de mangues 23%, purée de pommes 17%, jus de passion 5%, farine de mais, amidons, pectines, sucre, farine fermentée de mais, antioxydant: acide ascorbique, ferments. Fabriqué dans un atelier utilisant des fruitsà coques et des produits laitiers. Convient dans le cadre dune alimentation équilibrée en calčum|423|5.8|7.5||0.8|0.01|||||||||||||||||0|produits laitiers|E300 - Acide ascorbique,E440 - Pectines|
Desserts|Charles et Alice|Purée Pommes Bio|a|Pommes issues de l'Agriculture Biologique 99.9%, antioxydant : acide ascorbique 0.1%.|222|0.5|11|1.4|0.5|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Cora|Sans sucres ajoutés Pomme|a|Purée de pomme 99.9 %, antioxydant : acide ascorbique.|222|0|10.6|1.4|0|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Cora|Île flottante sur crème anglaise|c|Île flottante 95 % : _Lait_ partiellement écrémé, blanc d'_oeufs_ frais 17 %, sucre, jaune d'_oeufs_ frais 6.5 %, amidons transformés de pomme de terre, arôme naturel de vanille 0.6 %, stabilisant : gomme xanthane, gousses de vanille épuisées. Caramel aromatique 5 % : sucre, sirop de glucose-fructose, eau.|535|2.5|20.6|0|4.6|0.15|||||||||||||||||0|en:eggs,en:milk|E14XX - Amidons modifiés,E415 - Gomme xanthane|
Desserts|Cora|Sans sucres ajoutés Pomme Pêche Abricot|a|Purée de pommes 79.8 %, purée de pêches 13 %, purée d'abricots 7 %, arôme naturel d'abricot, arôme naturel de pêche et autres arômes naturels, antioxydant : acide ascorbique.|230|0.5|10.2|1.4|0.5|0.01|||||||||||||||||0||E300 - Acide ascorbique|
Desserts|Cora|Flans Nappés de Caramael|c|_Lait_ partiellement écrémé 76.5% - sure - caramel 5%- amidon de maïs - géliﬁant: carraghénanes - arôme - colorants : caroténoïdes - épaississants : pectine, gomme xanthane, amidon transformé de pomme de terre — correcteur d'acidité : citrate de sodium.|414|0.9|17.8|0|2.6|0.1|||||||||||||||||0|Lait|E14XX - Amidons modifiés,E160 - Caroténoïdes,E331 - Citrates de sodium,E407 - Carraghénanes,E415 - Gomme xanthane,E440 - Pectines,E440i - Pectine|
